Ranking,Title,Copies sold (in millions),As of,Release date,Genre(s),Developer(s),Publisher(s)
1,Mario Kart 8 Deluxe,52.00 ,"December 31, 2022","April 28, 2017",Kart racing,Nintendo EPD,Nintendo
2,Animal Crossing: New Horizons,41.59 ,"December 31, 2022","March 20, 2020",Social simulation,Nintendo EPD,Nintendo
3,Super Smash Bros. Ultimate,30.44 ,"December 31, 2022","December 7, 2018",Fighting,Bandai Namco StudiosSora Ltd.,Nintendo
4,The Legend of Zelda: Breath of the Wild,29.00 ,"December 31, 2022","March 3, 2017",Action-adventure,Nintendo EPD,Nintendo
5,Pokémon Sword and Shield,25.68 ,"December 31, 2022","November 15, 2019",Role-playing,Game Freak,The Pokémon CompanyNintendo
6,Super Mario Odyssey,25.12 ,"December 31, 2022","October 27, 2017",Platformer,Nintendo EPD,Nintendo
7,Pokémon Scarlet and Violet,20.61 ,"December 31, 2022","November 18, 2022",Role-playing,Game Freak,The Pokémon CompanyNintendo
8,Super Mario Party,18.79 ,"December 31, 2022","October 5, 2018",Party,NDcube,Nintendo
9,Ring Fit Adventure,15.22 ,"December 31, 2022","October 18, 2019",Exergame role-playing,Nintendo EPD,Nintendo
10,"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",15.07 ,"December 31, 2022","November 16, 2018",Role-playing,Game Freak,The Pokémon CompanyNintendo
11,Pokémon Brilliant Diamond and Shining Pearl,14.92 ,"September 30, 2022","November 19, 2021",Role-playing,ILCA,The Pokémon CompanyNintendo
12,New Super Mario Bros. U Deluxe,14.75 ,"December 31, 2022","January 11, 2019",Platformer,Nintendo EPD,Nintendo
13,Pokémon Legends: Arceus,14.63 ,"December 31, 2022","January 28, 2022",Action role-playing,Game Freak,The Pokémon CompanyNintendo
14,Splatoon 2,13.30 ,"March 31, 2022","July 21, 2017",Third-person shooter,Nintendo EPD,Nintendo
15,Luigi's Mansion 3,12.44 ,"December 31, 2022","October 31, 2019",Action-adventure,Next Level Games,Nintendo
16,Super Mario 3D World + Bowser's Fury,10.82 ,"December 31, 2022","February 12, 2021",Platformer,Nintendo EPD,Nintendo
17,Splatoon 3,10.13 ,"December 31, 2022","September 9, 2022",Third-person shooter,Nintendo EPD,Nintendo
18,Mario Party Superstars,9.38 ,"December 31, 2022","October 29, 2021",Party,NDcube,Nintendo
19,Super Mario 3D All-Stars,9.07 ,"December 31, 2021","September 18, 2020",Platformer compilation,Nintendo,Nintendo
20,Nintendo Switch Sports,8.61 ,"December 31, 2022","April 29, 2022",Sports,Nintendo EPD,Nintendo
21,Super Mario Maker 2,7.89 ,"December 31, 2021","June 28, 2019",Platformer Level editor,Nintendo EPD,Nintendo
22,Monster Hunter Rise,7.70 ,"December 31, 2021","March 26, 2021",Action role-playing,Capcom,Capcom
23,Kirby and the Forgotten Land,6.12 ,"December 31, 2022","March 25, 2022",Platformer,HAL Laboratory,Nintendo
24,The Legend of Zelda: Link's Awakening,6.08 ,"December 31, 2021","September 20, 2019",Action-adventure,Grezzo,Nintendo
25,Mario Tennis Aces,4.28 ,"December 31, 2021","June 22, 2018",Sports,Camelot Software Planning,Nintendo
26,Clubhouse Games: 51 Worldwide Classics,4.22 ,"March 31, 2022","June 5, 2020",Tabletop game,NDcube,Nintendo
27,Donkey Kong Country: Tropical Freeze,4.12 ,"December 31, 2021","May 4, 2018",Platformer,Retro Studios,Nintendo
28,Hyrule Warriors: Age of Calamity,4.00 ,"January 4, 2022","November 20, 2020",Hack and slash,Omega Force,JP: Koei Tecmo NA/PAL: Nintendo
29,Kirby Star Allies,3.98 ,"December 31, 2021","March 16, 2018",Platformer,HAL Laboratory,Nintendo
30,The Legend of Zelda: Skyward Sword HD,3.91 ,"March 31, 2022","July 16, 2021",Action-adventure,Tantalus Media,Nintendo
31,Fire Emblem: Three Houses,3.82 ,"December 31, 2021","July 26, 2019",Tactical role-playing,Intelligent SystemsKoei Tecmo,Nintendo
32,1-2-Switch,3.63 ,"December 31, 2021","March 3, 2017",Party,Nintendo EPD,Nintendo
33,"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",3.50 ,"March 22, 2022","November 19, 2020",Board game,Konami,JP: Konami
33,Minecraft,3.5 ,"October 22, 2022","May 11, 2017",Sandbox survival,Mojang,JP: Xbox Game StudiosNA/PAL: Mojang
35,Paper Mario: The Origami King,3.34 ,"December 31, 2021","July 17, 2020",Role-playing action-adventure,Intelligent Systems,Nintendo
36,Among Us,3.20 ,"December 31, 2020","December 15, 2020",Partysocial deduction,Innersloth,Innersloth
37,Yoshi's Crafted World,3.01 ,"December 31, 2021","March 29, 2019",Platformer,Good-Feel,Nintendo
38,Metroid Dread,2.90 ,"March 31, 2022","October 8, 2021",Action-adventure,MercurySteamNintendo EPD,Nintendo
39,New Pokémon Snap,2.74 ,"May 15, 2022","April 30, 2021",Photography,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo
40,Arms,2.66 ,"December 31, 2021","June 16, 2017",Fighting,Nintendo EPD,Nintendo
41,Mario Strikers: Battle League,2.47 ,"December 31, 2022","June 10, 2022",Sports,Next Level Games,Nintendo
42,Xenoblade Chronicles 2,2.44 ,"December 31, 2021","December 1, 2017",Action role-playing,Monolith Soft,Nintendo
43,Mario Golf: Super Rush,2.35 ,"March 31, 2022","June 25, 2021",Sports,Camelot Software Planning,Nintendo
44,Pikmin 3 Deluxe,2.23 ,"December 31, 2021","October 30, 2020",Real-time strategypuzzle,Nintendo EPDEighting,Nintendo
45,Octopath Traveler,2.16 ,"January 2, 2022","July 13, 2018",Role-playing,Square EnixAcquire,JP: Square EnixNA/PAL: Nintendo
46,Captain Toad: Treasure Tracker,2.13 ,"December 31, 2021","July 13, 2018",Action puzzle,Nintendo EPD,Nintendo
47,Dragon Ball FighterZ,2.01 ,"December 31, 2021","September 27, 2018",Fighting,Arc System Works,Bandai Namco Entertainment
48,Mario + Rabbids Kingdom Battle,2 ,"September 2, 2018","August 29, 2017",Tactical role-playing,Ubisoft ParisUbisoft Milan,NA/PAL: UbisoftJP/KOR: Nintendo[18]
49,Pokémon Mystery Dungeon: Rescue Team DX,1.89 ,"December 31, 2021","March 6, 2020",Roguelike,Spike Chunsoft,Nintendo
49,Taiko no Tatsujin: Drum 'n' Fun!,1.89 ,"December 31, 2021","July 19, 2018",Rhythm,Bandai Namco Studios,Bandai Namco Entertainment
51,Xenoblade Chronicles 3,1.81 ,"December 31, 2022","July 29, 2022",Action role-playing,Monolith Soft,Nintendo
52,Miitopia,1.68 ,"March 31, 2022","May 21, 2021",Role-playing,Grezzo,Nintendo
52,Xenoblade Chronicles: Definitive Edition,1.68 ,"December 31, 2021","May 29, 2020",Action role-playing,Monolith Soft,Nintendo
54,Big Brain Academy: Brain vs. Brain,1.59 ,"March 31, 2022","December 3, 2021",Puzzle,Nintendo EPD,Nintendo
55,Mario Kart Live: Home Circuit,1.58 ,"December 31, 2021","October 16, 2020",Kart racing augmented reality,Velan Studios,Nintendo
56,Dragon Ball Xenoverse 2,1.55 ,"December 31, 2021","September 7, 2017",Fighting,Dimps,Bandai Namco Entertainment
57,Pokkén Tournament DX,1.54 ,"January 2, 2022","September 22, 2017",Fighting,Bandai Namco Studios,JP: The Pokémon Company NA/PAL: Nintendo
58,Marvel Ultimate Alliance 3: The Black Order,1.50 ,"December 31, 2021","July 19, 2019",Action role-playing,Team Ninja,Nintendo
59,Nintendo Labo Toy-Con 01: Variety Kit,1.42 ,"December 31, 2020","April 20, 2018",Construction kit,Nintendo EPD,Nintendo
